Sales Person,Country,Product,Date,Amount,Boxes Shipped
Roddy Speechley,UK,Peanut Butter Cubes,17-Aug-22,7770,223
Ches Bonnell,New Zealand,Eclairs,4-Apr-22,7798,223
Brien Boise,India,85% Dark Bars,9-Aug-22,7798,223
Brien Boise,New Zealand,Organic Choco Syrup,17-Jan-22,7882,223
Andria Kimpton,Canada,White Choc,14-Feb-22,7896,223
Gigi Bohling,New Zealand,Orange Choco,16-May-22,7910,224
Ches Bonnell,Canada,Smooth Sliky Salty,16-Mar-22,7910,224
Husein Augar,Canada,70% Dark Bites,31-Jan-22,7924,226
Barr Faughny,Canada,Organic Choco Syrup,10-Mar-22,7952,226
Oby Sorrel,UK,Organic Choco Syrup,30-Jun-22,7959,226
Van Tuxwell,New Zealand,Eclairs,1-Mar-22,7959,227
Mallorie Waber,UK,Drinking Coco,27-May-22,7980,227
Oby Sorrel,UK,Milk Bars,11-Jul-22,8001,227
Karlen McCaffrey,New Zealand,Mint Chip Choco,2-Mar-22,8001,227
Jehu Rudeforth,USA,Raspberry Choco,4-Mar-22,8001,228
Kelci Walkden,UK,85% Dark Bars,23-Jun-22,8022,228
Kelci Walkden,USA,Almond Choco,27-Jan-22,8029,229
Marney O'Breen,Canada,Orange Choco,14-Jan-22,8043,229
Dennison Crosswaite,India,Fruit & Nut Bars,29-Jul-22,8064,229
Brien Boise,Canada,Smooth Sliky Salty,13-May-22,8092,232
Barr Faughny,Canada,Baker's Choco Chips,3-Feb-22,8099,232
Brien Boise,India,Smooth Sliky Salty,27-May-22,8106,232
Jan Morforth,Australia,Drinking Coco,18-Feb-22,8113,233
Brien Boise,India,Spicy Special Slims,28-Jan-22,8113,233
Van Tuxwell,UK,Eclairs,29-Jun-22,8134,233
Wilone O'Kielt,India,Caramel Stuffed Bars,13-Jan-22,8148,233
Jehu Rudeforth,UK,After Nines,27-Jun-22,8155,233
Barr Faughny,Canada,White Choc,29-Mar-22,8169,234
Gunar Cockshoot,India,Organic Choco Syrup,3-Jun-22,8183,234
Mallorie Waber,Canada,Smooth Sliky Salty,21-Mar-22,8190,235
Mallorie Waber,India,Eclairs,12-Apr-22,8197,235
Rafaelita Blaksland,Australia,Raspberry Choco,19-Jan-22,8204,235
Karlen McCaffrey,UK,50% Dark Bites,6-Apr-22,8204,235
Kaine Padly,Australia,50% Dark Bites,2-Aug-22,8225,236
Gigi Bohling,Australia,Eclairs,12-Apr-22,8267,236
Oby Sorrel,India,Drinking Coco,21-Jul-22,8302,236
Van Tuxwell,New Zealand,Baker's Choco Chips,22-Mar-22,8309,237
Husein Augar,India,Peanut Butter Cubes,9-May-22,8337,237
Andria Kimpton,Australia,Baker's Choco Chips,9-Aug-22,8379,238
Madelene Upcott,Canada,Choco Coated Almonds,20-Jul-22,8379,238
Brien Boise,India,70% Dark Bites,14-Apr-22,8393,239
Jehu Rudeforth,Canada,White Choc,25-Jan-22,8400,239
Andria Kimpton,Australia,Almond Choco,25-Apr-22,8428,239
Dotty Strutley,Canada,After Nines,17-Jan-22,8463,241
Karlen McCaffrey,USA,Eclairs,15-Aug-22,8470,241
Karlen McCaffrey,Canada,Fruit & Nut Bars,2-Jun-22,8484,242
Gunar Cockshoot,USA,85% Dark Bars,30-Jun-22,8491,242
Dotty Strutley,New Zealand,Raspberry Choco,10-Feb-22,8498,243
Marney O'Breen,Canada,Caramel Stuffed Bars,23-Feb-22,8512,244
Dennison Crosswaite,India,Organic Choco Syrup,27-Jan-22,8526,244
Camilla Castle,UK,Mint Chip Choco,26-May-22,8575,246
Brien Boise,USA,70% Dark Bites,14-Apr-22,8589,247
Madelene Upcott,Australia,99% Dark & Pure,1-Aug-22,8603,248
Mallorie Waber,Australia,Eclairs,22-Aug-22,8617,249
Marney O'Breen,India,99% Dark & Pure,22-Jul-22,8624,249
Husein Augar,USA,Fruit & Nut Bars,28-Apr-22,8659,249
Kelci Walkden,Australia,Almond Choco,30-May-22,8673,250
Ches Bonnell,USA,Milk Bars,21-Jul-22,8680,251
Jan Morforth,UK,Caramel Stuffed Bars,2-Aug-22,8687,251
Brien Boise,New Zealand,70% Dark Bites,15-Jun-22,8715,252
Oby Sorrel,India,85% Dark Bars,5-Jul-22,8722,252
Kaine Padly,New Zealand,Smooth Sliky Salty,12-Apr-22,8757,252
Gigi Bohling,Australia,70% Dark Bites,18-Aug-22,8757,252
Jan Morforth,UK,50% Dark Bites,12-Jan-22,8771,252
Gunar Cockshoot,Canada,White Choc,11-Aug-22,8799,254
Jehu Rudeforth,Australia,Spicy Special Slims,13-Jan-22,8799,254
Husein Augar,UK,Baker's Choco Chips,29-Apr-22,8848,256
Rafaelita Blaksland,New Zealand,After Nines,7-Jul-22,8883,256
Madelene Upcott,New Zealand,Mint Chip Choco,11-Mar-22,8897,256
Madelene Upcott,UK,70% Dark Bites,16-Feb-22,8904,257
Barr Faughny,Australia,Organic Choco Syrup,7-Jan-22,8911,258
Beverie Moffet,New Zealand,Drinking Coco,12-Jan-22,8911,258
Beverie Moffet,India,Eclairs,9-Jun-22,8925,259
Andria Kimpton,India,Eclairs,16-May-22,8939,259
Gigi Bohling,UK,85% Dark Bars,23-Jun-22,8981,259
Roddy Speechley,UK,Raspberry Choco,28-Jan-22,8995,260
Dotty Strutley,UK,Mint Chip Choco,14-Jul-22,9016,260
Barr Faughny,Canada,Drinking Coco,18-Apr-22,9023,261
Oby Sorrel,USA,Milk Bars,14-Jun-22,9023,261
Oby Sorrel,UK,Orange Choco,15-Apr-22,9037,262
Curtice Advani,Canada,Peanut Butter Cubes,19-May-22,9037,264
Gigi Bohling,India,White Choc,13-Apr-22,9058,264
Husein Augar,Canada,Choco Coated Almonds,15-Aug-22,9058,264
Wilone O'Kielt,India,Choco Coated Almonds,22-Aug-22,9100,264
Wilone O'Kielt,New Zealand,Baker's Choco Chips,22-Apr-22,9107,264
Kaine Padly,UK,Choco Coated Almonds,3-Aug-22,9114,265
Dennison Crosswaite,New Zealand,Organic Choco Syrup,4-Jan-22,9198,265
Kelci Walkden,Canada,After Nines,13-Jan-22,9205,265
Van Tuxwell,Australia,Baker's Choco Chips,11-May-22,9226,268
Husein Augar,New Zealand,Peanut Butter Cubes,16-Feb-22,9268,269
Kaine Padly,UK,Caramel Stuffed Bars,20-May-22,9275,270
Jehu Rudeforth,UK,Drinking Coco,3-Feb-22,9275,270
Beverie Moffet,India,Manuka Honey Choco,6-May-22,9282,271
Gunar Cockshoot,UK,Choco Coated Almonds,30-Jun-22,9310,271
Gunar Cockshoot,UK,Smooth Sliky Salty,22-Mar-22,9324,271
Camilla Castle,Canada,Orange Choco,17-Feb-22,9338,272
Jehu Rudeforth,UK,85% Dark Bars,7-Jul-22,9345,273
Oby Sorrel,UK,70% Dark Bites,16-Mar-22,9408,275
Kelci Walkden,UK,99% Dark & Pure,12-Aug-22,9422,275
Gigi Bohling,New Zealand,After Nines,21-Jan-22,9436,275
Oby Sorrel,Australia,50% Dark Bites,6-May-22,9457,275
Oby Sorrel,Canada,50% Dark Bites,24-Jun-22,9492,275
Barr Faughny,USA,White Choc,5-May-22,9506,276
Rafaelita Blaksland,New Zealand,99% Dark & Pure,25-Mar-22,9527,276
Curtice Advani,Australia,Caramel Stuffed Bars,14-Feb-22,9534,277
Curtice Advani,New Zealand,85% Dark Bars,12-May-22,9541,277
Barr Faughny,New Zealand,Smooth Sliky Salty,25-Jan-22,9583,277
Ches Bonnell,UK,85% Dark Bars,28-Jun-22,9625,277
Dennison Crosswaite,Australia,Drinking Coco,13-Jul-22,9625,280
Roddy Speechley,USA,Milk Bars,16-May-22,9660,281
Jan Morforth,India,After Nines,14-Mar-22,9660,282
Gunar Cockshoot,USA,After Nines,15-Aug-22,9681,282
Ches Bonnell,India,Orange Choco,16-Feb-22,9716,283
Mallorie Waber,UK,Manuka Honey Choco,15-Jun-22,9737,284
Barr Faughny,Australia,Raspberry Choco,27-May-22,9744,284
Wilone O'Kielt,USA,Drinking Coco,14-Jun-22,9744,284
Wilone O'Kielt,India,Eclairs,25-Feb-22,9765,284
Wilone O'Kielt,India,After Nines,4-Aug-22,9772,285
Kelci Walkden,India,99% Dark & Pure,28-Jun-22,9835,285
Gunar Cockshoot,Canada,Spicy Special Slims,5-Apr-22,9870,286
Madelene Upcott,Canada,Peanut Butter Cubes,5-Jul-22,9870,286
Kaine Padly,New Zealand,Eclairs,20-Jan-22,9884,286
Ches Bonnell,New Zealand,Drinking Coco,16-Feb-22,9954,286
Curtice Advani,UK,Drinking Coco,12-Jul-22,9982,287
Kelci Walkden,India,Raspberry Choco,16-Jun-22,9989,288
Dotty Strutley,Australia,Choco Coated Almonds,13-Apr-22,10024,289
Kaine Padly,UK,50% Dark Bites,21-Feb-22,10031,293
Roddy Speechley,Canada,Choco Coated Almonds,11-May-22,10038,293
Ches Bonnell,India,50% Dark Bites,15-Apr-22,10101,294
Oby Sorrel,Canada,Peanut Butter Cubes,7-Jun-22,10122,295
Oby Sorrel,UK,White Choc,27-Jun-22,10143,296
Barr Faughny,India,After Nines,29-Jul-22,10150,296
Wilone O'Kielt,Canada,Smooth Sliky Salty,2-Jun-22,10164,296
Rafaelita Blaksland,India,Mint Chip Choco,26-Jan-22,10171,296
Rafaelita Blaksland,Canada,99% Dark & Pure,2-Mar-22,10185,299
Van Tuxwell,Australia,70% Dark Bites,10-Jan-22,10192,299
Beverie Moffet,USA,70% Dark Bites,27-Jun-22,10199,300
Barr Faughny,Canada,Orange Choco,30-Jun-22,10213,301
Roddy Speechley,Australia,85% Dark Bars,8-Jul-22,10220,301
Oby Sorrel,India,Spicy Special Slims,8-Jun-22,10241,301
Jan Morforth,UK,Manuka Honey Choco,18-Aug-22,10255,301
Kaine Padly,Australia,After Nines,8-Apr-22,10262,302
Wilone O'Kielt,Canada,Fruit & Nut Bars,8-Aug-22,10283,303
Wilone O'Kielt,UK,Milk Bars,26-Aug-22,10325,303
Oby Sorrel,Canada,Fruit & Nut Bars,14-Jan-22,10332,303
Dennison Crosswaite,USA,Baker's Choco Chips,11-Aug-22,10437,304
Madelene Upcott,USA,Almond Choco,31-May-22,10458,305
Van Tuxwell,New Zealand,50% Dark Bites,11-Jul-22,10479,306
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2-Mar-22,10479,307
Madelene Upcott,Australia,Raspberry Choco,13-Jul-22,10486,308
Rafaelita Blaksland,UK,Spicy Special Slims,3-Aug-22,10500,309
Curtice Advani,UK,Peanut Butter Cubes,1-Mar-22,10507,310
Kelci Walkden,New Zealand,White Choc,13-Apr-22,10577,311
Beverie Moffet,Canada,Fruit & Nut Bars,14-Feb-22,10633,311
Mallorie Waber,India,White Choc,26-Jul-22,10647,311
Brien Boise,UK,Drinking Coco,27-Jan-22,10689,312
Jehu Rudeforth,India,Peanut Butter Cubes,14-Apr-22,10724,312
Oby Sorrel,USA,Almond Choco,19-May-22,10766,313
Husein Augar,India,Eclairs,9-Feb-22,10794,313
Brien Boise,UK,Spicy Special Slims,25-May-22,10794,313
Oby Sorrel,Australia,Manuka Honey Choco,26-Jan-22,10808,314
Beverie Moffet,India,White Choc,4-Jul-22,10815,315
Ches Bonnell,India,Almond Choco,13-Apr-22,10822,315
Gigi Bohling,Australia,Smooth Sliky Salty,25-Jan-22,10822,316
Camilla Castle,USA,85% Dark Bars,25-Apr-22,10829,316
Camilla Castle,USA,Eclairs,10-Jun-22,10885,317
Madelene Upcott,New Zealand,White Choc,22-Aug-22,10906,317
Van Tuxwell,India,After Nines,27-Jun-22,10927,318
Husein Augar,India,Orange Choco,30-Jun-22,10927,319
Jehu Rudeforth,India,Almond Choco,30-Aug-22,10969,320
Karlen McCaffrey,Australia,Raspberry Choco,23-Aug-22,10976,321
Camilla Castle,New Zealand,99% Dark & Pure,26-Aug-22,10983,321
Gigi Bohling,Australia,Orange Choco,9-Mar-22,10990,321
Kelci Walkden,UK,Drinking Coco,20-Apr-22,11095,322
Mallorie Waber,Canada,Caramel Stuffed Bars,10-Jun-22,11116,323
Husein Augar,Australia,Organic Choco Syrup,8-Feb-22,11137,323
Brien Boise,Australia,White Choc,25-Aug-22,11200,323
Dotty Strutley,India,Peanut Butter Cubes,16-Feb-22,11298,329
Dennison Crosswaite,UK,99% Dark & Pure,30-May-22,11298,330
Gigi Bohling,New Zealand,50% Dark Bites,29-Jun-22,11298,333
Gigi Bohling,USA,Milk Bars,16-Jun-22,11319,334
Brien Boise,UK,Caramel Stuffed Bars,4-Mar-22,11389,336
Curtice Advani,New Zealand,Peanut Butter Cubes,15-Mar-22,11550,338
Curtice Advani,New Zealand,50% Dark Bites,27-Jan-22,11550,339
Beverie Moffet,Canada,Drinking Coco,5-Jul-22,11564,341
Barr Faughny,USA,Caramel Stuffed Bars,29-Mar-22,11571,341
Mallorie Waber,Canada,Almond Choco,12-May-22,11662,342
Oby Sorrel,USA,Drinking Coco,11-Mar-22,11718,342
Brien Boise,New Zealand,Eclairs,11-Jul-22,11781,344
Gunar Cockshoot,New Zealand,Choco Coated Almonds,1-Aug-22,11788,344
Gunar Cockshoot,UK,Spicy Special Slims,16-Feb-22,11823,347
Curtice Advani,USA,After Nines,13-Apr-22,11837,348
Oby Sorrel,India,Choco Coated Almonds,14-Feb-22,11956,348
Ches Bonnell,Australia,Peanut Butter Cubes,14-Mar-22,12026,350
Oby Sorrel,Australia,Spicy Special Slims,26-Apr-22,12068,350
Jehu Rudeforth,Canada,Manuka Honey Choco,5-Apr-22,12173,350
Camilla Castle,Canada,Drinking Coco,3-Mar-22,12187,351
Kaine Padly,USA,Spicy Special Slims,13-Jun-22,12250,352
Marney O'Breen,New Zealand,70% Dark Bites,14-Feb-22,12271,352
Roddy Speechley,New Zealand,99% Dark & Pure,18-Apr-22,12313,352
Oby Sorrel,New Zealand,85% Dark Bars,1-Feb-22,12327,353
Dotty Strutley,New Zealand,Orange Choco,4-Aug-22,12362,354
Andria Kimpton,New Zealand,Almond Choco,5-Apr-22,12404,356
Karlen McCaffrey,Australia,99% Dark & Pure,26-Jan-22,12425,356
Kaine Padly,UK,After Nines,21-Jan-22,12446,358
Kaine Padly,Canada,After Nines,22-Aug-22,12481,359
Kaine Padly,UK,Drinking Coco,27-Jan-22,12488,361
Rafaelita Blaksland,UK,50% Dark Bites,16-Feb-22,12516,363
Dotty Strutley,USA,Raspberry Choco,3-Jan-22,12558,368
Karlen McCaffrey,USA,White Choc,24-Aug-22,12565,370
Oby Sorrel,USA,Spicy Special Slims,7-Feb-22,12586,370
Mallorie Waber,Australia,Smooth Sliky Salty,11-Feb-22,12586,371
Kaine Padly,Canada,Organic Choco Syrup,29-Mar-22,12635,377
Marney O'Breen,USA,Peanut Butter Cubes,15-Jun-22,12656,380
Dennison Crosswaite,UK,Smooth Sliky Salty,26-Apr-22,12726,384
Brien Boise,Australia,Organic Choco Syrup,15-Jul-22,12761,384
Beverie Moffet,India,Organic Choco Syrup,23-Jun-22,12894,384
Dennison Crosswaite,Australia,Baker's Choco Chips,11-Jan-22,12992,387
Beverie Moffet,UK,50% Dark Bites,9-Feb-22,13006,389
Van Tuxwell,UK,Almond Choco,6-Jun-22,13034,390
Dotty Strutley,UK,Caramel Stuffed Bars,10-Aug-22,13062,390
Wilone O'Kielt,Australia,Smooth Sliky Salty,4-Jan-22,13076,392
Andria Kimpton,Canada,70% Dark Bites,8-Apr-22,13083,392
Barr Faughny,UK,Milk Bars,2-Mar-22,13125,395
Van Tuxwell,Canada,Drinking Coco,15-Jun-22,13258,396
Jehu Rudeforth,Australia,After Nines,14-Feb-22,13356,398
Husein Augar,UK,After Nines,5-Jul-22,13405,401
Barr Faughny,India,Mint Chip Choco,12-Jan-22,13447,402
Curtice Advani,India,Mint Chip Choco,3-Mar-22,13482,403
Jehu Rudeforth,New Zealand,Milk Bars,18-May-22,13503,403
Gunar Cockshoot,India,Caramel Stuffed Bars,28-Jul-22,13573,406
Curtice Advani,UK,Manuka Honey Choco,7-Feb-22,13685,407
Andria Kimpton,India,Orange Choco,30-May-22,13685,408
Mallorie Waber,Australia,Raspberry Choco,25-Apr-22,13685,408
Beverie Moffet,Canada,85% Dark Bars,16-Feb-22,13706,409
Kelci Walkden,Australia,Drinking Coco,4-May-22,13706,409
Van Tuxwell,Canada,70% Dark Bites,2-Jun-22,13727,410
Dennison Crosswaite,USA,Caramel Stuffed Bars,11-Jul-22,13846,411
Beverie Moffet,New Zealand,Spicy Special Slims,7-Jun-22,13888,413
Jan Morforth,UK,Almond Choco,6-Jul-22,13930,415
Husein Augar,India,Raspberry Choco,15-Jun-22,14028,416
Dotty Strutley,India,Mint Chip Choco,14-Apr-22,14147,417
Camilla Castle,India,Drinking Coco,8-Aug-22,14238,417
Marney O'Breen,UK,Drinking Coco,29-Mar-22,14287,417
Roddy Speechley,Australia,Organic Choco Syrup,4-Jul-22,14301,418
Ches Bonnell,India,99% Dark & Pure,16-Feb-22,14336,418
Rafaelita Blaksland,Canada,Spicy Special Slims,2-May-22,14504,419
Van Tuxwell,India,Eclairs,21-Jul-22,14525,420
Gunar Cockshoot,Australia,99% Dark & Pure,18-Aug-22,14539,421
Kaine Padly,USA,85% Dark Bars,22-Jun-22,14658,421
Camilla Castle,UK,Peanut Butter Cubes,19-Jul-22,14749,424
Madelene Upcott,UK,Peanut Butter Cubes,12-Aug-22,14763,424
Madelene Upcott,USA,Choco Coated Almonds,7-Jun-22,14798,425
Marney O'Breen,Canada,Peanut Butter Cubes,8-Mar-22,14889,430
Ches Bonnell,Australia,Choco Coated Almonds,8-Apr-22,14924,430
Curtice Advani,Canada,Eclairs,6-May-22,14938,432
Roddy Speechley,India,Drinking Coco,31-May-22,14980,433
Van Tuxwell,Australia,Mint Chip Choco,13-Jan-22,15008,434
Dennison Crosswaite,USA,70% Dark Bites,15-Mar-22,15057,438
Andria Kimpton,Canada,Peanut Butter Cubes,16-Feb-22,15099,446
Gigi Bohling,USA,70% Dark Bites,14-Jan-22,15316,447
Rafaelita Blaksland,Australia,White Choc,21-Mar-22,15330,457
Roddy Speechley,Canada,Drinking Coco,17-May-22,15421,464
Camilla Castle,New Zealand,85% Dark Bars,8-Aug-22,15491,465
Madelene Upcott,Canada,Milk Bars,26-Apr-22,15491,467
Madelene Upcott,Australia,70% Dark Bites,15-Apr-22,15547,468
Oby Sorrel,Canada,Eclairs,19-May-22,15652,469
Dennison Crosswaite,Canada,Drinking Coco,10-Jan-22,15750,475
Mallorie Waber,New Zealand,After Nines,4-May-22,15855,477
Roddy Speechley,Canada,White Choc,5-Apr-22,16016,479
Andria Kimpton,India,After Nines,17-Jan-22,16114,482
Roddy Speechley,India,Spicy Special Slims,22-Mar-22,16233,488
Dotty Strutley,Australia,White Choc,5-Jul-22,16380,495
Oby Sorrel,Canada,Orange Choco,27-Apr-22,16401,508
Kaine Padly,Canada,Almond Choco,12-Aug-22,16569,512
Jan Morforth,UK,Baker's Choco Chips,11-Mar-22,16702,518
Jehu Rudeforth,UK,Fruit & Nut Bars,13-May-22,16793,518
Dennison Crosswaite,USA,Smooth Sliky Salty,12-May-22,16982,520
Brien Boise,USA,Raspberry Choco,12-Jan-22,17318,520
Madelene Upcott,New Zealand,Milk Bars,29-Mar-22,17465,524
Roddy Speechley,India,50% Dark Bites,14-Mar-22,17626,539
Barr Faughny,New Zealand,99% Dark & Pure,24-May-22,18032,543
Dennison Crosswaite,Canada,Organic Choco Syrup,28-Jan-22,18340,547
Beverie Moffet,India,Almond Choco,24-May-22,18697,554
Brien Boise,Australia,Peanut Butter Cubes,19-Aug-22,18991,581
Karlen McCaffrey,Australia,Spicy Special Slims,17-May-22,19327,591
Jehu Rudeforth,USA,White Choc,7-Jun-22,19453,597
Ches Bonnell,Canada,Organic Choco Syrup,26-Jul-22,19481,614
Dotty Strutley,India,Eclairs,28-Jul-22,19929,708
Karlen McCaffrey,India,70% Dark Bites,23-May-22,22050,709
